Arabidopsis Centroid	Function	Alyrata	Athaliana	Atrichopoda	Bdistachyon	Cclementina	Cgrandiflora	Cpapaya	Creinhardtii	Crubella	Csativus	Csinensis	CsubellipsoideaC169	Egrandis	Esalsugineum	Fvesca	Gmax	Graimondii	Lusitatissimum	Mdomestica	Mesculenta	Mguttatus	MspRCC299	Mtruncatula	Olucimarinus	Osativa	Ppatens	Ptrichocarpa	Pvulgaris	Rcommunis	Sbicolor	Sitalica	Slycopersicum	Smoellendorffii	Spolyrhiza	Stuberosum	Tcacao	Vcarteri	Vvinifera	Zmays
Athaliana|:|AT1G63970.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	315035		evm_27.model.AmTr_v1.0_scaffold00001.308	Bradi3g51750.1	Ciclev10021991m	Cagra.0062s0041.1	evm.model.supercontig_631.3	Cre12.g503550.t1.2	Carubv10020891m	Cucsa.106950.1	orange1.1g026508m	18339	Eucgr.E00780.1, Eucgr.L03318.1		mrna31840.1-v1.0-hybrid	Glyma.11G021400.1, Glyma.12G139900.1	Gorai.003G085800.1, Gorai.004G137800.1	Lus10028759, Lus10017522	MDP0000282180, MDP0000255398, MDP0000265911	cassava4.1_020661m	Migut.A00721.1		Medtr5g010010.1	44114	LOC_Os02g45660.1	Phpat.003G074200.1	Potri.001G099300.1, Potri.003G132400.1	Phvul.002G159900.1	30190.m011273	Sobic.004G281900.1	Si019383m	Solyc08g081570.2.1	90975	Spipo11G0017400	PGSC0003DMP400021537	Thecc1EG016340t1	Vocar20014122m	GSVIVT01019415001	GRMZM5G835542_P01, AC209374.4_FGP002
Athaliana|:|AT4G02620.1	V-type ATP synthase subunit F (EC 3.6.3.14)	327540		evm_27.model.AmTr_v1.0_scaffold00039.50	Bradi2g40890.2, Bradi2g39610.3	Ciclev10022651m, Ciclev10002833m	Cagra.0635s0020.1	evm.model.supercontig_117.89	Cre10.g446550.t1.2	Carubv10002255m	Cucsa.143160.1	orange1.1g032972m, orange1.1g037034m	9239	Eucgr.B02621.1, Eucgr.C04384.1	Thhalv10029066m	mrna16560.1-v1.0-hybrid	Glyma.08G090500.1, Glyma.05G135300.1	Gorai.013G079800.1, Gorai.004G218600.1, Gorai.004G246600.1		MDP0000200264, MDP0000165389, MDP0000120302	cassava4.1_019092m	Migut.D00367.1			15055	LOC_Os02g57854.1, LOC_Os04g05080.1	Phpat.025G031000.1, Phpat.006G063300.1	Potri.005G217600.1	Phvul.002G186900.1	30099.m001656	Sobic.004G352500.1, Sobic.002G410700.1	Si007501m, Si018691m	Solyc02g068450.2.1	73696	Spipo23G0038000	PGSC0003DMP400016652	Thecc1EG026350t1, Thecc1EG004220t1	Vocar20015250m	GSVIVT01031574001	GRMZM2G008232_P01, GRMZM2G158766_P02
Athaliana|:|AT1G08490.1	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	470910		evm_27.model.AmTr_v1.0_scaffold00077.138	Bradi4g25680.1	Ciclev10015188m	Cagra.4395s0039.1	evm.model.supercontig_34.204	Cre12.g525650.t1.2	Carubv10012604m	Cucsa.086720.1	orange1.1g012718m	37143	Eucgr.B03759.1	Thhalv10007548m	mrna00425.1-v1.0-hybrid, mrna00427.1-v1.0-hybrid	Glyma.15G127400.1, Glyma.09G021000.1	Gorai.013G254300.1	Lus10031670	MDP0000136662	cassava4.1_009887m	Migut.I00341.1		Medtr3g083980.1	19438	LOC_Os12g18900.1	Phpat.024G036400.1, Phpat.023G025400.1	Potri.009G066000.1	Phvul.006G131100.1	29785.m000953	Sobic.004G132600.1, Sobic.005G014700.1	Si017143m	Solyc05g055000.2.1	86206	Spipo29G0012100		Thecc1EG040966t1	Vocar20003856m	GSVIVT01037384001	GRMZM2G060470_P02
Athaliana|:|AT4G12800.1	photosystem I subunit XI (PsaL)	883671		evm_27.model.AmTr_v1.0_scaffold00087.44	Bradi4g08020.1	Ciclev10016637m	Cagra.1329s0006.1	evm.model.supercontig_8.42	Cre12.g486300.t1.2	Carubv10005700m	Cucsa.178540.1	orange1.1g027843m	27681	Eucgr.K02362.1	Thhalv10026195m	mrna16804.1-v1.0-hybrid	Glyma.09G250800.1, Glyma.18G241700.1	Gorai.001G101200.1, Gorai.N002100.1	Lus10002143, Lus10008747	MDP0000773525, MDP0000795356, MDP0000184046, MDP0000456521	cassava4.1_030348m	Migut.D00776.1		Medtr7g079900.1	119502	LOC_Os12g23200.1	Phpat.005G016000.1, Phpat.016G020900.1, Phpat.027G008900.1	Potri.002G239700.1, Potri.014G175600.1	Phvul.008G054400.1	30178.m000877	Sobic.003G052500.1	Si023254m	Solyc06g082950.2.1, Solyc06g082940.2.1		Spipo4G0050200	PGSC0003DMP400048121, PGSC0003DMP400048120	Thecc1EG025253t1, Thecc1EG002614t1	Vocar20000898m	GSVIVT01019114001	GRMZM2G026015_P02, GRMZM2G094224_P01
Athaliana|:|AT3G27740.1	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	318572, 484564		evm_27.model.AmTr_v1.0_scaffold00039.199	Bradi3g05360.1	Ciclev10025660m	Cagra.11216s0004.1	evm.model.supercontig_42.92	Cre06.g308500.t1.2	Carubv10017218m	Cucsa.076280.1	orange1.1g047544m, orange1.1g039151m	54860	Eucgr.I00242.1	Thhalv10018601m	mrna20658.1-v1.0-hybrid	Glyma.04G216000.1, Glyma.06G150000.1, Glyma.05G188500.1	Gorai.003G069700.1, Gorai.007G063500.1	Lus10018639, Lus10039874	MDP0000253620, MDP0000121129, MDP0000280382, MDP0000146850	cassava4.1_008319m	Migut.H01123.1		Medtr3g095490.1, Medtr4g103830.1	28074	LOC_Os02g47850.1	Phpat.011G043500.1, Phpat.007G039900.1	Potri.003G080900.1, Potri.001G153400.1	Phvul.009G147600.1	29728.m000797	Sobic.004G265900.1	Si017204m	Solyc03g115630.2.1	177367, 429828	Spipo8G0040100	PGSC0003DMP400042491, PGSC0003DMP400000655	Thecc1EG001359t2	Vocar20013122m	GSVIVT01026584001	GRMZM2G029573_P03, GRMZM2G147450_P01
Athaliana|:|AT5G40610.1	Glycerol-3-phosphate dehydrogenase [NAD+] (EC 1.1.1.8)	493921		evm_27.model.AmTr_v1.0_scaffold00049.111	Bradi2g62020.1	Ciclev10015567m	Cagra.1148s0023.1	evm.model.supercontig_862.6, evm.model.supercontig_1921.1, evm.TU.contig_44855.1	Cre01.g053150.t1.2, Cre10.g421700.t1.2, Cre01.g053000.t1.2	Carubv10004974m	Cucsa.011050.1	orange1.1g014739m	42677	Eucgr.J02265.1	Thhalv10027824m	mrna27988.1-v1.0-hybrid	Glyma.19G053500.1, Glyma.19G079400.1, Glyma.05G114400.1	Gorai.006G036200.1, Gorai.012G066600.1	Lus10014889, Lus10022308	MDP0000607168, MDP0000149686, MDP0000218246, MDP0000882222, MDP0000149684, MDP0000341510, MDP0000141348, MDP0000292400, MDP0000941340, MDP0000421067, MDP0000589728	cassava4.1_009494m	Migut.K01420.1		Medtr7g032630.1, Medtr6g021915.1		LOC_Os01g74000.1	Phpat.015G045700.1	Potri.017G070900.1	Phvul.008G160800.1, Phvul.004G059500.1	29633.m000917	Sobic.003G443400.1	Si001951m	Solyc02g067930.2.1	132832	Spipo4G0036800	PGSC0003DMP400012339	Thecc1EG017024t1	Vocar20000874m	GSVIVT01003989001	GRMZM6G161711_P01
Athaliana|:|AT1G17745.2	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	471986				Ciclev10025148m	Cagra.2175s0008.1	evm.model.supercontig_375.5		Carubv10008585m		orange1.1g006212m		Eucgr.F04000.1	Thhalv10007072m	mrna05700.1-v1.0-hybrid	Glyma.13G372200.1, Glyma.07G003400.1, Glyma.08G223300.1		Lus10037333, Lus10037334, Lus10035758	MDP0000166138, MDP0000309160	cassava4.1_008023m	Migut.D00899.1		Medtr4g005880.1				Potri.010G249600.1, Potri.008G009500.1	Phvul.008G256300.1	30158.m000507			Solyc03g123830.2.1			PGSC0003DMP400016146	Thecc1EG027097t1		GSVIVT01016122001	
Athaliana|:|AT2G47510.1	Fumarate hydratase class II (EC 4.2.1.2)	483931		evm_27.model.AmTr_v1.0_scaffold00045.123	Bradi1g63020.1	Ciclev10019838m	Cagra.0551s0009.1	evm.model.supercontig_27.118, evm.model.supercontig_151.34	Cre01.g020223.t1.1	Carubv10026277m, Carubv10025236m, Carubv10027566m	Cucsa.096910.1	orange1.1g010908m	12444	Eucgr.H01081.1, Eucgr.H01083.1	Thhalv10001422m	mrna11092.1-v1.0-hybrid, mrna11091.1-v1.0-hybrid	Glyma.02G015700.1, Glyma.02G015800.1, Glyma.10G016200.1	Gorai.004G051500.1, Gorai.001G141300.1	Lus10028532, Lus10009114, Lus10032296	MDP0000170940, MDP0000277097, MDP0000171850, MDP0000202281	cassava4.1_027209m, cassava4.1_016347m, cassava4.1_007064m	Migut.D00123.1		Medtr1g087900.1	46735	LOC_Os03g21950.1	Phpat.020G030400.1, Phpat.023G070200.1	Potri.002G201300.1	Phvul.007G217700.1, Phvul.007G217600.1	29986.m001664	Sobic.001G378800.1	Si035345m	Solyc09g075450.2.1, Solyc06g009820.2.1	113300	Spipo3G0029500		Thecc1EG004729t2	Vocar20010150m	GSVIVT01028056001, GSVIVT01031185001	GRMZM2G010823_P01
Athaliana|:|AT5G50950.1	Fumarate hydratase class II (EC 4.2.1.2)	495160					Cagra.7393s0001.1																																	
Athaliana|:|AT1G29900.1	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	473200		evm_27.model.AmTr_v1.0_scaffold00013.171	Bradi2g41480.1	Ciclev10027703m	Cagra.5647s0022.1	evm.model.supercontig_81.16	Cre08.g358580.t1.1	Carubv10008125m	Cucsa.334290.1	orange1.1g001014m	25106	Eucgr.F04457.1	Thhalv10006598m	mrna12265.1-v1.0-hybrid	Glyma.20G148800.1, Glyma.15G045100.1, Glyma.13G328600.1	Gorai.002G066300.1	Lus10021430, Lus10016137	MDP0000300669, MDP0000248462, MDP0000238223	cassava4.1_000597m	Migut.N03234.1		Medtr2g093280.1	42572	LOC_Os01g38970.1	Phpat.1Z049500.1, Phpat.002G082500.1, Phpat.001G068600.1	Potri.008G216500.1, Potri.010G023100.1	Phvul.005G137400.1	30111.m000702	Sobic.003G193700.1	Si004760m, Si008525m	Solyc06g075340.2.1	440891	Spipo9G0051900		Thecc1EG031657t1	Vocar20013481m	GSVIVT01025125001	GRMZM2G700683_P01, GRMZM2G061990_P01
Athaliana|:|AT1G78050.1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)	316714					Cagra.0096s0031.1			Carubv10021577m					Thhalv10018866m			Gorai.003G043800.1																						
Athaliana|:|AT1G22170.1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)	472450		evm_27.model.AmTr_v1.0_scaffold00010.189	Bradi1g45420.1, Bradi3g59050.1	Ciclev10001708m, Ciclev10027051m	Cagra.1707s0003.1	evm.model.supercontig_66.85	Cre03.g166950.t1.2	Carubv10009571m	Cucsa.154550.1, Cucsa.104540.1	orange1.1g019848m, orange1.1g032238m		Eucgr.F02446.1, Eucgr.F00493.1	Thhalv10008087m	mrna16364.1-v1.0-hybrid, mrna22089.1-v1.0-hybrid	Glyma.13G087800.1, Glyma.14G170700.1, Glyma.06G105600.1, Glyma.08G138100.1, Glyma.05G180500.1, Glyma.08G144400.1, Glyma.04G104500.1	Gorai.010G043600.1, Gorai.009G239400.1, Gorai.003G043900.1	Lus10033465, Lus10020910	MDP0000125700, MDP0000302731, MDP0000349220, MDP0000191423, MDP0000228892	cassava4.1_021170m, cassava4.1_010967m	Migut.H02379.1, Migut.O00462.1		Medtr8g091330.3, Medtr3g074040.1		LOC_Os02g51590.1, LOC_Os06g11960.1	Phpat.015G035600.1, Phpat.020G033100.1, Phpat.005G091000.1, Phpat.015G001400.1, Phpat.016G080400.1	Potri.005G078100.1, Potri.002G093300.1, Potri.005G168000.1	Phvul.008G171600.1, Phvul.002G261600.1, Phvul.009G029000.1	29908.m005996	Sobic.004G234100.1, Sobic.010G090100.1	Si016272m, Si006858m	Solyc04g054820.2.1, Solyc04g072800.2.1	89377	Spipo15G0009400	PGSC0003DMP400035847, PGSC0003DMP400043480, PGSC0003DMP400016748	Thecc1EG034951t2, Thecc1EG001156t1	Vocar20010050m	GSVIVT01008997001	GRMZM2G062320_P01, GRMZM2G021605_P01, GRMZM2G004593_P01
Athaliana|:|AT3G14130.1	Glycolate oxidase (EC 1.1.3.15)	478828		evm_27.model.AmTr_v1.0_scaffold00007.375	Bradi1g20870.3	Ciclev10025729m, Ciclev10025922m, Ciclev10025921m, Ciclev10026187m	Cagra.3631s0009.1			Carubv10015180m	Cucsa.149400.1	orange1.1g039466m		Eucgr.F02471.1, Eucgr.F02472.1				Gorai.010G174000.1, Gorai.010G174100.1	Lus10013171, Lus10008133	MDP0000262029, MDP0000282534, MDP0000130913	cassava4.1_010275m				37603	LOC_Os07g42440.1				29727.m000487, 29727.m000481	Sobic.002G374700.1, Sobic.002G374800.1	Si030627m, Si030190m	Solyc03g122130.2.1, Solyc03g122150.2.1		Spipo0G0033400	PGSC0003DMP400039724	Thecc1EG046843t1, Thecc1EG046841t1		GSVIVT01016714001	GRMZM2G148194_P05
Athaliana|:|AT3G14150.1	Glycolate oxidase (EC 1.1.3.15)							evm.model.supercontig_25.151			Cucsa.149420.1, Cucsa.149410.1	orange1.1g024846m			Thhalv10020996m	mrna05391.1-v1.0-hybrid, mrna05390.1-v1.0-hybrid		Gorai.011G062400.1, Gorai.010G173900.1, Gorai.011G062200.1	Lus10013174, Lus10013173		cassava4.1_010273m	Migut.I01107.1						Potri.003G069400.1, Potri.003G069300.1, Potri.003G069600.1		29727.m000485, 29727.m000486, 29727.m000482			Solyc03g122170.2.1, Solyc03g122140.2.1			PGSC0003DMP400039723, PGSC0003DMP400039691, PGSC0003DMP400039716			GSVIVT01016712001	
Athaliana|:|AT3G14420.1	Glycolate oxidase (EC 1.1.3.15)	895734, 478862, 333142		evm_27.model.AmTr_v1.0_scaffold00092.151	Bradi1g06430.1, Bradi1g58480.2	Ciclev10020692m, Ciclev10015533m	Cagra.1582s0026.1, Cagra.0096s0002.1	evm.model.supercontig_77.100, evm.model.supercontig_17.9	Cre03.g171300.t1.2	Carubv10020498m, Carubv10013998m	Cucsa.047810.1	orange1.1g017492m, orange1.1g015722m		Eucgr.E02420.1, Eucgr.D00288.1, Eucgr.E02418.1, Eucgr.F01413.1	Thhalv10018744m, Thhalv10020979m	mrna02361.1-v1.0-hybrid, mrna23706.1-v1.0-hybrid	Glyma.08G175800.1, Glyma.15G250800.1, Glyma.05G141400.1, Glyma.08G097300.1, Glyma.12G125600.1, Glyma.08G096600.1, Glyma.05G141300.1, Glyma.08G096800.1, Glyma.08G096700.1, Glyma.08G097100.1	Gorai.009G154200.1, Gorai.002G038000.1, Gorai.002G037900.1, Gorai.003G061400.1, Gorai.006G092300.1	Lus10038507, Lus10038144, Lus10013724, Lus10042495, Lus10005590, Lus10023302, Lus10013725	MDP0000706975, MDP0000265684, MDP0000917325, MDP0000291549, MDP0000255309	cassava4.1_010148m, cassava4.1_010145m	Migut.M00661.1, Migut.M00899.1, Migut.M00662.1		Medtr2g070420.2		LOC_Os03g57220.2, LOC_Os04g53210.1, LOC_Os07g05820.2, LOC_Os08g09860.1	Phpat.010G025200.1, Phpat.018G068000.1, Phpat.022G028200.1, Phpat.019G012100.1	Potri.001G394400.1, Potri.004G065200.1, Potri.011G112700.1	Phvul.005G051800.1, Phvul.005G052100.1, Phvul.002G180300.1	29693.m001985	Sobic.006G220600.1, Sobic.002G036000.1, Sobic.001G065600.1	Si010412m, Si040072m, Si029923m	Solyc08g048250.2.1, Solyc07g056540.2.1, Solyc10g007600.2.1	402239, 266585	Spipo5G0038100, Spipo8G0028600	PGSC0003DMP400036811, PGSC0003DMP400048099	Thecc1EG029459t2, Thecc1EG032344t1	Vocar20007888m	GSVIVT01021520001, GSVIVT01038078001	GRMZM2G129246_P01, GRMZM2G076239_P04
Athaliana|:|AT3G14415.2	Glycolate oxidase (EC 1.1.3.15)									Carubv10014001m					Thhalv10020982m																									
Athaliana|:|AT4G18360.1	Glycolate oxidase (EC 1.1.3.15)	914854			Bradi5g22250.1		Cagra.1595s0036.1			Carubv10005088m			28454		Thhalv10025514m	mrna30626.1-v1.0-hybrid	Glyma.08G097200.1		Lus10037208					Medtr1g072440.1		LOC_Os04g53214.2	Phpat.004G110800.1				Sobic.006G220500.1	Si010405m								GRMZM5G853854_P04
Athaliana|:|AT5G10480.3	Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase (EC 4.2.1.134)	909004		evm_27.model.AmTr_v1.0_scaffold00033.251	Bradi2g03320.1, Bradi2g62370.1, Bradi2g03330.1		Cagra.1085s0011.1	evm.model.supercontig_55.29	Cre03.g167924.t1.1	Carubv10003916m	Cucsa.260310.1	orange1.1g027621m	14404	Eucgr.K02898.1	Thhalv10014620m	mrna20810.1-v1.0-hybrid	Glyma.08G279700.1, Glyma.18G146900.1, Glyma.01G023400.1	Gorai.007G233000.1	Lus10025335, Lus10024408	MDP0000294616, MDP0000225180, MDP0000216315, MDP0000130010, MDP0000337353	cassava4.1_017402m	Migut.B00221.1		Medtr8g471160.1	29682, 13214	LOC_Os01g05710.1, LOC_Os01g05720.1, LOC_Os04g20280.2, LOC_Os01g05744.1, LOC_Os01g05694.1	Phpat.002G057300.1	Potri.007G010900.1	Phvul.002G147400.1, Phvul.003G289100.1	29913.m000154	Sobic.003G071300.1, Sobic.003G071400.1, Sobic.003G071100.1	Si002841m, Si002923m	Solyc11g010590.1.1, Solyc04g014370.2.1	122503	Spipo9G0029200	PGSC0003DMP400040803, PGSC0003DMP400028182	Thecc1EG000991t2	Vocar20010092m	GSVIVT01005931001	GRMZM2G151087_P02, GRMZM2G181266_P01
Athaliana|:|AT2G25710.1	Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)	481423			Bradi3g04970.1		Cagra.0409s0002.1			Carubv10025619m, Carubv10025337m	Cucsa.038790.1						Glyma.06G109600.1		Lus10025604																			Vocar20013600m		
Athaliana|:|AT3G10860.1	Ubiquinol-cytochrome c reductase complex subunit 8 (ubiquinone-binding protein QP-C)	897280			Bradi1g47890.2		Cagra.8632s0012.1	evm.model.supercontig_2.267		Carubv10014926m	Cucsa.394270.1			Eucgr.G03166.1	Thhalv10021877m		Glyma.14G206700.1, Glyma.02G237700.1	Gorai.012G013200.1, Gorai.013G009600.1	Lus10034442, Lus10019118	MDP0000807498, MDP0000763693, MDP0000134766	cassava4.1_020694m	Migut.D00804.1			26781	LOC_Os06g07869.1, LOC_Os06g07969.1	Phpat.011G010000.1, Phpat.001G006700.1, Phpat.007G081400.1, Phpat.013G024600.1	Potri.019G132000.1, Potri.013G159700.1	Phvul.008G244100.1		Sobic.010G059300.1	Si007730m	Solyc06g082680.2.1, Solyc06g007540.2.1	270776	Spipo3G0028900, Spipo4G0102700	PGSC0003DMP400053037, PGSC0003DMP400035878	Thecc1EG045583t1	Vocar20007661m	GSVIVT01024535001	GRMZM2G067707_P01, GRMZM2G401139_P01
Athaliana|:|AT5G05370.1	Ubiquinol-cytochrome c reductase complex subunit 8 (ubiquinone-binding protein QP-C)	487332				Ciclev10010097m, Ciclev10033444m, Ciclev10013576m	Cagra.1504s0042.1		Cre03.g156950.t1.1	Carubv10002333m		orange1.1g046370m	63545		Thhalv10015197m, Thhalv10015196m	mrna28052.1-v1.0-hybrid, mrna16993.1-v1.0-hybrid			Lus10035013, Lus10021674					Medtr5g075690.1						29945.m000087									GSVIVT01024232001	
Athaliana|:|AT1G30820.1	CTP synthase (EC 6.3.4.2)	473316			Bradi2g15810.1	Ciclev10014658m	Cagra.1508s0116.1	evm.model.supercontig_30.54	Cre09.g406050.t1.2	Carubv10008634m	Cucsa.049070.1	orange1.1g006689m		Eucgr.E04334.1	Thhalv10007135m	mrna19901.1-v1.0-hybrid	Glyma.08G264800.1, Glyma.15G217500.1, Glyma.16G096500.1	Gorai.008G052400.1	Lus10038403	MDP0000326288, MDP0000137919	cassava4.1_004029m			Medtr8g070540.1		LOC_Os05g49460.1, LOC_Os05g49520.1		Potri.003G157900.1	Phvul.003G274700.1		Sobic.009G239500.1	Si021485m	Solyc02g082190.2.1			PGSC0003DMP400024116	Thecc1EG005955t4			GRMZM5G855337_P01, AC234185.1_FGP004
Athaliana|:|AT2G34890.1	CTP synthase (EC 6.3.4.2)	869818					Cagra.7519s0001.1			Carubv10025550m					Thhalv10016409m																									
Athaliana|:|AT4G20320.1	CTP synthase (EC 6.3.4.2)	914627					Cagra.4169s0001.1			Carubv10004421m					Thhalv10024728m																									
Athaliana|:|AT3G12670.1	CTP synthase (EC 6.3.4.2)	478626		evm_27.model.AmTr_v1.0_scaffold00068.182	Bradi2g43640.2, Bradi2g14730.1, Bradi2g45390.1	Ciclev10004584m	Cagra.5641s0031.1	evm.TU.contig_31283.1		Carubv10013294m	Cucsa.240220.1	orange1.1g048183m		Eucgr.F01480.1	Thhalv10020355m	mrna02328.1-v1.0-hybrid, mrna19897.1-v1.0-hybrid	Glyma.08G232600.1, Glyma.15G266600.1, Glyma.08G161000.1	Gorai.002G110800.1, Gorai.013G146900.1	Lus10001218	MDP0000161665, MDP0000186874	cassava4.1_003790m, cassava4.1_003948m	Migut.M02038.1		Medtr8g446910.1, Medtr2g062770.1		LOC_Os01g43020.1, LOC_Os05g49770.1, LOC_Os01g46570.1		Potri.010G176500.1, Potri.008G080100.1, Potri.001G073100.1	Phvul.005G044500.1, Phvul.011G180900.1	30162.m001257, 30160.m000435	Sobic.003G017300.1, Sobic.003G241000.1, Sobic.003G221200.1	Si000703m, Si000739m	Solyc01g056850.2.1	109323	Spipo26G0017300, Spipo8G0047000	PGSC0003DMP400037269	Thecc1EG033690t1		GSVIVT01010068001, GSVIVT01036683001	GRMZM2G153058_P01, GRMZM2G330302_P01, GRMZM2G132547_P01
Athaliana|:|AT4G02120.1	CTP synthase (EC 6.3.4.2)	912011		evm_27.model.AmTr_v1.0_scaffold00057.51	Bradi4g04870.1	Ciclev10031113m	Cagra.0753s0026.1	evm.model.supercontig_18.5		Carubv10000612m	Cucsa.205180.1	orange1.1g008567m	25157	Eucgr.K03526.1	Thhalv10028554m	mrna02327.1-v1.0-hybrid	Glyma.02G014200.1, Glyma.10G014900.1	Gorai.004G050800.1, Gorai.007G124600.1	Lus10010020, Lus10025043, Lus10025042	MDP0000196640, MDP0000932017, MDP0000151940	cassava4.1_003685m, cassava4.1_004708m	Migut.D00100.1		Medtr1g087440.4	28993	LOC_Os12g36950.1	Phpat.003G049200.1, Phpat.012G072000.1	Potri.014G123200.1	Phvul.007G216100.1	30076.m004688	Sobic.008G127100.1	Si021583m	Solyc01g079650.2.1	268899, 168247, 96554	Spipo3G0027300	PGSC0003DMP400015883	Thecc1EG004769t2	Vocar20013582m	GSVIVT01028084001	GRMZM2G122999_P02
Athaliana|:|AT1G80860.2	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.71)	477159		evm_27.model.AmTr_v1.0_scaffold00065.210	Bradi3g48550.1	Ciclev10026584m	Cagra.1725s0055.1	evm.model.supercontig_10.78		Carubv10021063m	Cucsa.177240.1	orange1.1g031183m	63364	Eucgr.F03958.1	Thhalv10019243m	mrna15839.1-v1.0-hybrid	Glyma.08G218900.1, Glyma.07G022900.1	Gorai.010G136500.1	Lus10026087	MDP0000283221	cassava4.1_017903m	Migut.D01126.1		Medtr4g007090.1, Medtr4g007095.2		LOC_Os02g39880.1	Phpat.006G012700.1	Potri.003G182400.1, Potri.001G044200.1	Phvul.010G161400.1	30131.m006852	Sobic.004G212500.1	Si018530m	Solyc06g068470.2.1	442703	Spipo28G0011600	PGSC0003DMP400049594	Thecc1EG027450t1		GSVIVT01015956001	GRMZM2G034697_P01
Athaliana|:|AT3G56940.1	Mg protoporphyrin IX monomethyl ester oxidative cyclase (aerobic) (EC 1.14.13.81)	486137		evm_27.model.AmTr_v1.0_scaffold00095.88	Bradi2g10770.1	Ciclev10011842m	Cagra.0578s0024.1	evm.model.supercontig_92.57	Cre12.g510050.t1.2, Cre07.g346050.t2.1	Carubv10017355m	Cucsa.059080.1	orange1.1g014877m	35563	Eucgr.A02177.1	Thhalv10006009m	mrna17933.1-v1.0-hybrid	Glyma.03G119500.1, Glyma.19G123800.1	Gorai.002G225700.1	Lus10031000, Lus10035398	MDP0000602932	cassava4.1_008691m	Migut.K00174.1		Medtr7g088340.1	47501	LOC_Os01g17170.1	Phpat.011G029700.1, Phpat.007G102600.1	Potri.006G027300.1, Potri.016G025000.1	Phvul.001G108700.1	30045.m000485	Sobic.003G132100.1	Si001632m	Solyc10g077040.1.1	267431, 89989	Spipo3G0020600	PGSC0003DMP400012744	Thecc1EG024152t1	Vocar20001060m, Vocar20011366m	GSVIVT01025841001	GRMZM2G043109_P01, GRMZM2G081462_P01
Athaliana|:|AT4G23660.3	4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39)	492502		evm_27.model.AmTr_v1.0_scaffold00093.31	Bradi3g60400.2	Ciclev10031746m	Cagra.1226s0028.1	evm.model.supercontig_5.31, evm.model.supercontig_5.29	Cre06.g291800.t1.2	Carubv10004831m	Cucsa.192320.1	orange1.1g019626m	34769	Eucgr.H03234.1, Eucgr.G01369.1	Thhalv10025345m	mrna00822.1-v1.0-hybrid	Glyma.09G272700.1, Glyma.18G216400.1	Gorai.008G153000.1, Gorai.008G149600.1	Lus10001531, Lus10033224	MDP0000136096, MDP0000194319, MDP0000207571, MDP0000206605, MDP0000212567	cassava4.1_010455m	Migut.I00018.1, Migut.N01582.1, Migut.H00604.1		Medtr7g073970.1, Medtr3g111660.1	43450	LOC_Os08g29970.1, LOC_Os08g29950.1, LOC_Os08g29900.1, LOC_Os08g23320.1, LOC_Os08g29910.1	Phpat.017G045600.1	Potri.005G093700.1, Potri.005G093600.1	Phvul.008G080300.1	29700.m000771	Sobic.004G355300.1	Si039795m, Si017380m	Solyc03g114300.2.1	24149	Spipo17G0038000	PGSC0003DMP400042372	Thecc1EG008041t1, Thecc1EG007750t1		GSVIVT01012037001	GRMZM2G080497_P01
Athaliana|:|AT1G54340.1	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	474695					Cagra.1310s0015.1	evm.model.supercontig_118.1	Cre04.g214500.t1.1	Carubv10010901m					Thhalv10012325m	mrna19875.1-v1.0-hybrid	Glyma.08G160500.1, Glyma.15G266700.1, Glyma.19G005100.1	Gorai.013G147100.1	Lus10012111, Lus10010431	MDP0000391825, MDP0000180604, MDP0000530217, MDP0000269972	cassava4.1_008545m	Migut.H01648.1															Thecc1EG033701t1	Vocar20002078m		
