Role	Aly	Ath	Bdi	Cre	Gma	Ogl	Osa	Ptr	Sbi	Vvi	Zma
Fatty acyl-CoA synthetase of sporopollenin biosynthesis (EC 6.2.1.-)	scaffold_200261.1	AT1G62940	BRADI5G04760		GLYMA08G44190|GLYMA18G08550	ORGLA04G0054100	OS04G0310800	POPTR_0001s13900|POPTR_0003s17130	Sb03g000610|Sb06g016630	Vv01s0010g03720	GRMZM2G014651|GRMZM2G145179
Ferredoxin--nitrite reductase (EC 1.7.7.1)	scaffold_303747.1	AT2G15620	BRADI3G57990	CHLREDRAFT_192085	GLYMA02G14910|GLYMA07G33570	ORGLA01G0123800	OS01G0357100|OS02G0765900	POPTR_0004s14810|POPTR_0009s10440	Sb04g034160	Vv03s0063g00370	GRMZM2G079381|GRMZM2G102959
Ferredoxin--sulfite reductase (EC 1.8.7.1)	scaffold_600403.1	AT5G04590	BRADI2G20550	CHLREDRAFT_206154	GLYMA11G09890|GLYMA12G02200	ORGLA05G0191800	OS05G0503300	POPTR_0001s26420|POPTR_0001s34270|POPTR_0009s05730	Sb09g024840	Vv06s0004g02330	GRMZM2G090338
Ferric reduction oxidase 2 (AtFRO2) (EC 1.16.1.7) (Ferric-chelate reductase 2) (Protein FERRIC CHELATE REDUCTASE DEFECTIVE 1)	fgenesh2_kg.1__73__AT1G01580.1	AT1G01580			GLYMA07G07380			POPTR_0014s08390|POPTR_0014s08400		Vv15s0046g01900	
Ferric reduction oxidase 3, mitochondrial (AtFRO3) (EC 1.16.1.7) (Ferric-chelate reductase 3)	fgenesh2_kg.1__2506__AT1G23020.1	AT1G23020									
Ferric reduction oxidase 4 (AtFRO4) (EC 1.16.1.7) (Ferric-chelate reductase 4)	Al_scaffold_0006_2277	AT5G23980			GLYMA10G37600			POPTR_0004s07740|POPTR_0017s01690		Vv16s0050g00990	
Ferric reduction oxidase 5 (AtFRO5) (EC 1.16.1.7) (Ferric-chelate reductase 5)	Al_scaffold_0006_2278	AT5G23990									
Ferric reduction oxidase 7, chloroplastic (AtFRO7) (EC 1.16.1.7) (Ferric-chelate reductase 7)	scaffold_801372.1	AT5G49740			GLYMA09G02170|GLYMA15G13090			POPTR_0001s11860		Vv12s0035g02150	
Ferric reduction oxidase 8, mitochondrial (AtFRO8) (EC 1.16.1.7) (Ferric-chelate reductase 8)	fgenesh2_kg.8__888__AT5G50160.1	AT5G50160									
Feruloyl CoA ortho-hydroxylase 1 (EC 1.14.11.-)	fgenesh2_kg.3__1453__AT3G13610.1|fgenesh2_kg.3__1621__AT3G13610.1	AT3G13610			GLYMA03G23770|GLYMA07G12210			POPTR_0001s04390|POPTR_0001s04410		Vv06s0004g00760|Vv06s0004g00770	
Flavanone-3-hydroxylase (EC 1.14.11.9)	Al_scaffold_0002_1216|Al_scaffold_0006_3185	AT4G10490						POPTR_0001s45610|POPTR_0011s15310|POPTR_1033s00200		Vv02s0025g02960|Vv02s0025g02970	
Flavone 3'-O-methyltransferase (EC 2.1.1.42)	fgenesh2_kg.8__1313__AT5G54160.1|scaffold_801928.1	AT5G54160	BRADI3G16530		GLYMA04G40580|GLYMA06G14200|GLYMA06G14210|GLYMA06G14220|GLYMA14G00801	ORGLA08G0028500	OS08G0157500	POPTR_0012s00670|POPTR_0015s00550	Sb07g003860	Vv16s0098g00850	AC196475.3_FG004
Flavonol synthase (EC 1.14.11.23)	fgenesh2_kg.6__839__AT5G08640.1	AT5G08640			GLYMA06G11590|GLYMA13G02740|GLYMA14G33227	ORGLA02G0292600	OS02G0767300	POPTR_0002s08720|POPTR_0004s14670|POPTR_0004s14680|POPTR_0019s01130|POPTR_0339s00200	Sb04g034240	Vv18s0001g03470|Vv18s0001g03490|Vv18s0001g03510	
Formate dehydrogenase, mitochondrial (EC 1.2.1.2) (NAD-dependent formate dehydrogenase) (FDH)	fgenesh2_kg.6__1459__AT5G14780.1	AT5G14780	BRADI1G42270		GLYMA13G23790|GLYMA19G01200|GLYMA19G01210	ORGLA06G0277800|ORGLA06G0278000	OS06G0486800|OS06G0486900	POPTR_0002s21930|POPTR_0002s21950|POPTR_0014s15960	Sb04g030310|Sb10g016920	Vv14s0066g01320	GRMZM2G049811|GRMZM2G124919|GRMZM2G147714|GRMZM2G170602|GRMZM2G362021|GRMZM2G418005|GRMZM2G423972
Fumarylacetoacetase (EC 3.7.1.2)	fgenesh2_kg.1__1307__AT1G12050.1	AT1G12050	BRADI3G07130	CHLREDRAFT_122609	GLYMA09G01270|GLYMA15G12100	ORGLA02G0069000	OS02G0196800	POPTR_0006s01080	Sb04g006620	Vv00s0187g00300|Vv00s0187g00340	GRMZM2G029566|GRMZM2G093359
GDP-L-galactose phosphorylase (EC 2.7.7.69)	Al_scaffold_0987_1|fgenesh2_kg.7__1548__AT4G26850.1|scaffold_802051.1	AT4G26850|AT5G55120	BRADI4G22700|BRADI4G40740	CHLREDRAFT_113717	GLYMA02G46230|GLYMA08G43200|GLYMA14G02500|GLYMA18G10430	ORGLA12G0049800	OS12G0190000	POPTR_0001s36560|POPTR_0011s08940	Sb08g005410	Vv19s0090g01000	GRMZM2G057186
GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Protein LEAF WILTING 3)	fgenesh2_kg.108__2__AT2G40190.1|fgenesh2_kg.4__2125__AT2G40190.1	AT2G40190	BRADI4G03380	CHLREDRAFT_19999	GLYMA07G06210|GLYMA16G02840	ORGLA12G0200300	OS12G0583000	POPTR_0012s09740|POPTR_0012s09750|POPTR_0015s10510	Sb08g019540	Vv13s0067g01320	GRMZM2G546081
GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M) (Protein PEANUT 1)	scaffold_602255.1	AT5G22130	BRADI4G38200	CHLREDRAFT_121145	GLYMA08G16980	ORGLA03G0268400	OS03G0670200	POPTR_0001s06880	Sb02g011300	Vv09s0002g05230	GRMZM2G048762
Galactinol synthase 1 (AtGolS1) (GolS-1) (EC 2.4.1.123)	fgenesh2_kg.4__2954__AT2G47180.1	AT2G47180	BRADI1G64120		GLYMA03G38080|GLYMA19G40680	ORGLA03G0145400	OS03G0316200	POPTR_0002s19230|POPTR_0014s11210	Sb01g037090|Sb02g043450	Vv07s0005g01970|Vv07s0005g01980	GRMZM2G165919|GRMZM2G361984|GRMZM5G872256
Galactinol synthase 2 (AtGolS2) (GolS-2) (EC 2.4.1.123)	fgenesh2_kg.1__4773__AT1G56600.1	AT1G56600			GLYMA03G38910|GLYMA10G28610|GLYMA19G41550|GLYMA20G22700	ORGLA07G0213400	OS07G0687900	POPTR_0005s00850|POPTR_0013s00720|POPTR_0013s00730		Vv14s0060g00730|Vv14s0060g00740|Vv14s0060g00760|Vv14s0060g00770|Vv14s0060g00790|Vv14s0060g00810	
Galactinol synthase 3 (AtGolS3) (GolS-3) (EC 2.4.1.123)	fgenesh1_pm.C_scaffold_1000758	AT1G09350	BRADI1G17200								
Galactinol synthase 4 (AtGolS4) (GolS-4) (EC 2.4.1.123)	fgenesh2_kg.2__413__AT1G60470.1	AT1G60470						POPTR_0008s19370|POPTR_0010s05170		Vv01s0127g00470	
Galactinol synthase 7 (AtGolS7) (GolS-7) (EC 2.4.1.123)	Al_scaffold_0002_513	AT1G60450									
Galactinol--raffinose galactosyltransferase (EC 2.4.1.67)	fgenesh2_kg.6__3514__AT4G01970.1|fgenesh2_kg.7__3382__AT5G40390.1|scaffold_502925.1	AT3G57520|AT4G01970|AT5G40390	BRADI1G54210|BRADI2G04310		GLYMA03G29440|GLYMA05G02510|GLYMA05G08950|GLYMA06G18890|GLYMA18G23102|GLYMA19G40550	ORGLA01G0041400|ORGLA03G0349900|ORGLA07G0059800|ORGLA11G0211000	OS01G0170000|OS03G0808900|OS07G0209100	POPTR_0002s19450|POPTR_0004s21770|POPTR_0006s05130|POPTR_0007s02450|POPTR_0014s11370|POPTR_0015s09330|POPTR_0016s05500|POPTR_0017s06440	Sb01g004130|Sb02g006320|Sb03g004540	Vv05s0077g00840|Vv07s0005g01680|Vv08s0007g08310|Vv14s0066g00810|Vv17s0000g08960	GRMZM2G077181|GRMZM2G150906|GRMZM2G340656
Galactinol--sucrose galactosyltransferase (EC 2.4.1.82)	fgenesh2_kg.7__3382__AT5G40390.1	AT5G40390	BRADI2G04310		GLYMA05G02510|GLYMA05G08950|GLYMA06G18890	ORGLA01G0041400|ORGLA11G0211000	OS01G0170000	POPTR_0004s21770|POPTR_0007s02450|POPTR_0015s09330|POPTR_0017s06440	Sb03g004540	Vv14s0066g00810|Vv17s0000g08960	GRMZM2G150906
Gamma-aminobutyrate:pyruvate aminotransferase (EC 2.6.1.-)	fgenesh2_kg.3__2435__AT3G22200.1	AT3G22200	BRADI3G11897|BRADI3G17762|BRADI5G21710		GLYMA11G10190|GLYMA12G02510	ORGLA02G0008700|ORGLA04G0222600|ORGLA04G0222700|ORGLA08G0053600	OS02G0112900|OS04G0614500|OS04G0614600|OS08G0205900	POPTR_0006s02170|POPTR_0016s02000	Sb06g028440|Sb07g005930	Vv03s0017g01720|Vv03s0017g01760	GRMZM2G093900|GRMZM2G108125|GRMZM5G817886|GRMZM5G891209
Gamma-glutamyltranspeptidase (EC 2.3.2.2)	Al_scaffold_0007_171|fgenesh2_kg.7__1269__AT4G29210.1|fgenesh2_kg.7__176__AT4G39640.1	AT1G69820|AT4G29210|AT4G39640|AT4G39650	BRADI5G12205		GLYMA01G00850|GLYMA07G15150|GLYMA11G35950|GLYMA11G35990|GLYMA18G02450	ORGLA04G0117300	OS04G0457500	POPTR_0001s34100|POPTR_0005s08450|POPTR_0006s15360|POPTR_0018s06710	Sb06g018740	Vv11s0016g02830	GRMZM2G065073|GRMZM2G139600
Gibberellin 2-beta-dioxygenase 1 (EC 1.14.11.13) (GA 2-oxidase 1) (Gibberellin 2-beta-hydroxylase 1) (Gibberellin 2-oxidase 1)	fgenesh1_pm.C_scaffold_2001779	AT1G78440			GLYMA13G33290|GLYMA13G33300|GLYMA15G39750			POPTR_0001s38760|POPTR_0011s09770		Vv19s0140g00140	
Gibberellin 2-beta-dioxygenase 2 (EC 1.14.11.13) (GA 2-oxidase 2) (Gibberellin 2-beta-hydroxylase 2) (Gibberellin 2-oxidase 2)	fgenesh2_kg.1__3177__AT1G30040.1	AT1G30040			GLYMA05G26080|GLYMA08G09040|GLYMA13G28970|GLYMA15G10070			POPTR_0004s06380		Vv10s0003g03490	
Gibberellin 2-beta-dioxygenase 3 (EC 1.14.11.13) (GA 2-oxidase 3) (Gibberellin 2-beta-hydroxylase 3) (Gibberellin 2-oxidase 3)	fgenesh2_kg.4__1477__AT2G34555.1	AT2G34555									
Gibberellin 2-beta-dioxygenase 7 (EC 1.14.11.13) (GA 2-oxidase 7) (Gibberellin 2-beta-hydroxylase 7) (Gibberellin 2-oxidase 7)	Al_scaffold_0001_4469	AT1G50960									
Gibberellin 2-beta-dioxygenase 8 (EC 1.14.11.13) (GA 2-oxidase 8) (Gibberellin 2-beta-hydroxylase 8) (Gibberellin 2-oxidase 8)	Al_scaffold_0007_2057	AT4G21200			GLYMA11G00550|GLYMA20G27870	ORGLA02G0216400		POPTR_0004s02200|POPTR_0011s00340|POPTR_0011s00350		Vv10s0116g00410	
Gibberellin carboxyl methyltransferase (EC 2.1.1.-)	scaffold_802174.1	AT5G56300								Vv06s0004g00030	
Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4)	scaffold_601609.1	AT5G15770			GLYMA03G35360|GLYMA06G16990|GLYMA19G37990			POPTR_0018s09350|POPTR_0656s00200		Vv08s0007g03320	
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	Al_scaffold_0008_1000|Al_scaffold_0008_1008|fgenesh2_kg.3__2624__AT3G24090.1	AT3G24090	BRADI4G26430|BRADI4G43640	CHLREDRAFT_118046	GLYMA09G38460|GLYMA18G47860	ORGLA11G0018000|ORGLA12G0016200	OS11G0133700|OS12G0131150	POPTR_0019s08180|POPTR_0019s08190|POPTR_0019s08200	Sb08g001480	Vv13s0064g00050	GRMZM2G005849|GRMZM2G180155
Glutamate decarboxylase (EC 4.1.1.15)	fgenesh2_kg.5__115__AT2G02010.1|fgenesh2_kg.6__1733__AT5G17330.1|scaffold_201298.1|scaffold_302097.1	AT1G65960|AT2G02000|AT2G02010|AT3G17760|AT5G17330	BRADI3G37830		GLYMA02G40840|GLYMA09G29900|GLYMA11G33280|GLYMA14G39170|GLYMA16G34450|GLYMA18G04940	ORGLA09G0167600	OS08G0465800	POPTR_0004s07350|POPTR_0004s07360|POPTR_0004s07370|POPTR_0012s03610|POPTR_0017s01430	Sb07g022670	Vv01s0011g06610|Vv04s0079g00600|Vv17s0000g00920	
Glutamate--cysteine ligase (EC 6.3.2.2)	fgenesh2_kg.7__1985__AT4G23100.1	AT4G23100	BRADI2G38340	CHLREDRAFT_181975	GLYMA01G42900|GLYMA05G37850|GLYMA08G01750|GLYMA11G02570	ORGLA05G0020100|ORGLA07G0113500	OS05G0129000|OS07G0462000	POPTR_0001s09340|POPTR_0003s12700	Sb09g002470	Vv02s0025g03530	GRMZM2G020096|GRMZM2G111579
Glutaminyl-tRNA synthetase (EC 6.1.1.18)	Al_scaffold_0006_1899|fgenesh2_kg.1__2794__AT1G25350.1	AT1G25350|AT5G19720	BRADI2G05460	CHLREDRAFT_193475	GLYMA06G22081|GLYMA10G41920|GLYMA14G12810|GLYMA17G30825|GLYMA20G25120	ORGLA01G0051700|ORGLA05G0049800	OS01G0185200|OS05G0182800	POPTR_0008s12140|POPTR_0010s13280	Sb03g003420|Sb09g005690	Vv01s0011g03740|Vv15s0021g01230	GRMZM2G032049|GRMZM2G048012
Glutathione S-transferase (EC 2.5.1.18)	fgenesh2_kg.1__4071__AT1G49860.1|fgenesh2_kg.4__1063__AT2G30860.1|fgenesh2_kg.5__2768__AT3G62760.1	AT1G49860|AT2G30860|AT3G62760			GLYMA02G17330|GLYMA02G45328|GLYMA02G45336|GLYMA08G41960|GLYMA08G41970|GLYMA10G02460|GLYMA14G03461|GLYMA14G03470|GLYMA18G13620|GLYMA18G13630|GLYMA18G13640			POPTR_0002s20900|POPTR_0014s12670		Vv07s0104g01800|Vv07s0104g01810|Vv12s0028g00920|Vv12s0028g00930	
Glutathione dehydrogenase (ascorbate) (EC 1.8.5.1)	fgenesh2_kg.1__2135__AT1G19570.1	AT1G19550									
Glutathione peroxidase (EC 1.11.1.9)	fgenesh1_pm.C_scaffold_5002277|fgenesh2_kg.4__1063__AT2G30860.1|fgenesh2_kg.4__2502__AT2G43350.1|fgenesh2_kg.6__3116__AT4G11600.1|scaffold_401693.1|scaffold_76200001.1	AT2G30860|AT2G31570|AT2G43350|AT3G63080|AT4G11600	BRADI3G51010|BRADI5G18000	CHLREDRAFT_137012|CHLREDRAFT_143122|CHLREDRAFT_188373|CHLREDRAFT_206090	GLYMA02G16800|GLYMA02G45328|GLYMA02G45336|GLYMA03G30800|GLYMA05G34490|GLYMA08G05200|GLYMA08G41960|GLYMA08G41970|GLYMA10G03000|GLYMA14G03461|GLYMA14G03470|GLYMA18G13620|GLYMA18G13630|GLYMA18G13640|GLYMA19G33650	ORGLA02G0232100|ORGLA04G0183000|ORGLA11G0086800	OS02G0664000|OS04G0556300|OS11G0284900	POPTR_0007s02160|POPTR_0014s13490|POPTR_0017s06160	Sb0010s007790|Sb01g035940|Sb04g032520|Sb06g024920	Vv05s0102g00120|Vv07s0104g00320|Vv12s0028g00920|Vv12s0028g00930	GRMZM2G011025|GRMZM2G013299|GRMZM2G135893|GRMZM2G144153|GRMZM5G884600
Glutathione reductase (EC 1.8.1.7)	fgenesh2_kg.5__1862__AT3G54660.1|scaffold_302922.1	AT3G24170|AT3G54660	BRADI1G74180|BRADI3G26737|BRADI3G55030	CHLREDRAFT_134165|CHLREDRAFT_191427	GLYMA02G08180|GLYMA02G16010|GLYMA02G16030|GLYMA10G03740|GLYMA16G27210	ORGLA02G0322000|ORGLA03G0044800|ORGLA10G0085800	OS02G0813500|OS03G0163300|OS10G0415300	POPTR_0001s14480|POPTR_0003s17670|POPTR_0015s04650	Sb01g021980|Sb01g046260|Sb04g036870	Vv05s0051g00870|Vv07s0141g00390	GRMZM2G172322|GRMZM5G806449
Glutathione synthetase (EC 6.3.2.3)	fgenesh2_kg.6__2724__AT5G27380.1	AT5G27380	BRADI4G06087|BRADI4G11710|BRADI4G39310	CHLREDRAFT_189020	GLYMA03G40050|GLYMA19G42600|GLYMA19G42610|GLYMA19G42620	ORGLA11G0173400|ORGLA12G0074300|ORGLA12G0123500	OS11G0642800|OS12G0263000|OS12G0528400	POPTR_0005s04040|POPTR_0013s02780	Sb05g025630|Sb08g016750	Vv14s0030g00030	GRMZM2G038492|GRMZM2G155974|GRMZM2G379252
Glycyl-tRNA synthetase (EC 6.1.1.14)	fgenesh1_pg.C_scaffold_7000076|fgenesh2_kg.1__3151__AT1G29880.1	AT1G29870|AT1G29880|AT3G44740	BRADI3G41550	CHLREDRAFT_82920	GLYMA08G47890|GLYMA18G07790	ORGLA02G0340300|ORGLA04G0080700|ORGLA08G0225700	OS04G0398300|OS08G0538000	POPTR_0001s12970|POPTR_0003s16070	Sb06g014710|Sb07g025840	Vv01s0150g00150	GRMZM2G041797|GRMZM2G171688|GRMZM5G821551
HAD superfamily (subfamily IG) hydrolase, 5'-nucleotidase (EC 3.1.3.5)	fgenesh2_kg.8__775__AT5G48960.1|scaffold_202462.1	AT1G75210|AT5G48960	BRADI1G07140|BRADI2G08826	CHLREDRAFT_99000	GLYMA04G03410|GLYMA06G03500|GLYMA13G17950|GLYMA15G21240|GLYMA17G04580|GLYMA17G36900	ORGLA01G0085900|ORGLA03G0328700	OS01G0250900|OS03G0774300	POPTR_0002s26180|POPTR_0008s21070|POPTR_0008s21080|POPTR_0010s00530|POPTR_0014s18340	Sb01g006630|Sb03g005235|Sb03g009530	Vv05s0020g00880|Vv18s0001g12510	GRMZM2G044819|GRMZM2G122139
Histidyl-tRNA synthetase (EC 6.1.1.21)	fgenesh2_kg.3__219__AT3G02760.1|fgenesh2_kg.6__249__AT3G46100.1	AT3G02760|AT5G03406			GLYMA05G35021|GLYMA08G04700			POPTR_0019s10010		Vv18s0001g03590|Vv18s0001g03600	
Homogentisate 1,2-dioxygenase (EC 1.13.11.5)	scaffold_801917.1	AT5G54080	BRADI1G52290	CHLREDRAFT_76437	GLYMA06G34890|GLYMA06G34940|GLYMA12G20220	ORGLA06G0001400	OS06G0103300	POPTR_0001s38310	Sb10g000360	Vv19s0014g01800	GRMZM2G154093
Hydroperoxide lyase (EC 4.1.2.-)	fgenesh1_pg.C_scaffold_7002408	AT4G15440			GLYMA12G31770			POPTR_0014s15390			
Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	fgenesh1_pm.C_scaffold_1000471|fgenesh1_pm.C_scaffold_4000942|fgenesh2_kg.4__2513__AT2G43430.1|scaffold_301249.1	AT1G06130|AT2G31350|AT2G43430|AT3G10850	BRADI1G63410|BRADI4G35270	CHLREDRAFT_133171	GLYMA02G38460|GLYMA04G40210|GLYMA06G14601|GLYMA08G37890|GLYMA11G13470|GLYMA12G05470|GLYMA13G42070|GLYMA14G36610|GLYMA15G03320|GLYMA18G34362	ORGLA03G0155000|ORGLA07G0231000|ORGLA09G0129300	OS03G0332400|OS09G0516600	POPTR_0007s01700|POPTR_0017s05500|POPTR_0019s09090	Sb01g036340|Sb02g029900	Vv05s0102g01180|Vv13s0067g00180	GRMZM2G031825|GRMZM2G120300|GRMZM2G150533
Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	fgenesh2_kg.4__613__AT2G26800.2	AT2G26800	BRADI4G43510	CHLREDRAFT_195057	GLYMA02G44610|GLYMA07G36340|GLYMA14G04110|GLYMA20G08360	ORGLA11G0020300|ORGLA12G0018600	OS11G0137200|OS12G0134000	POPTR_0001s28070|POPTR_0009s07280	Sb05g002170	Vv06s0009g02640	GRMZM2G095141
Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	fgenesh1_pg.C_scaffold_2001493	AT1G71750	BRADI2G33610	CHLREDRAFT_132988|CHLREDRAFT_145152	GLYMA10G36460|GLYMA20G31110	ORGLA05G0049400	OS05G0182201	POPTR_0005s22030	Sb09g005630	Vv18s0001g02520	GRMZM2G089021
IAA-amino acid hydrolase ILR1-like 1 (EC 3.5.1.-)	fgenesh2_kg.8__1573__AT5G56650.1	AT5G56650									
IAA-amino acid hydrolase ILR1-like 2 (EC 3.5.1.-)		AT5G56660									
IAA-amino acid hydrolase ILR1-like 3 (EC 3.5.1.-)	fgenesh2_kg.8__1310__AT5G54140.1	AT5G54140	BRADI5G16000	CHLREDRAFT_105119		ORGLA04G0161200	OS04G0521800	POPTR_0012s00750|POPTR_0015s00630	Sb06g022860	Vv16s0098g00770|Vv16s0098g00780	GRMZM5G831795
Indole-3-acetate O-methyltransferase 1 (EC 2.1.1.n10)	fgenesh2_kg.8__1427__AT5G55250.1	AT5G55250			GLYMA02G46480|GLYMA08G43460|GLYMA14G02160|GLYMA18G10080	ORGLA04G0249200	OS04G0665200	POPTR_0001s36950		Vv19s0090g01250	
Indole-3-acetic acid-amido synthetase (EC 6.3.2.-)	fgenesh2_kg.1__2974__AT1G28130.1|fgenesh2_kg.2__494__AT4G37390.1|fgenesh2_kg.4__248__AT2G23170.1|fgenesh2_kg.7__1505__AT4G27260.1|fgenesh2_kg.7__315__AT1G59500.1|scaffold_801981.1	AT1G28130|AT1G59500|AT2G23170|AT4G27260|AT4G37390|AT5G54510	BRADI2G20740|BRADI2G52000|BRADI4G17237		GLYMA01G39780|GLYMA05G21680|GLYMA06G40860|GLYMA11G05510|GLYMA12G17510|GLYMA12G34480|GLYMA13G36030|GLYMA17G18040|GLYMA17G18080	ORGLA01G0273300|ORGLA05G0190300|ORGLA07G0254100	OS01G0785400|OS05G0500900|OS11G0528700	POPTR_0001s12850|POPTR_0001s43990|POPTR_0003s15970|POPTR_0007s10350|POPTR_0011s13330	Sb01g019020|Sb03g035500|Sb03g036680|Sb05g019810|Sb09g024710	Vv01s0150g00300|Vv19s0014g04690	GRMZM2G033359|GRMZM2G061515|GRMZM2G366873|GRMZM2G410567
Indoleacetaldoxime dehydratase (EC 4.99.1.6) (Cytochrome P450 71A13)	fgenesh2_kg.4__1054__AT2G30770.1	AT2G30770									
Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	fgenesh2_kg.1__518__AT1G05620.1	AT1G05620	BRADI1G57470		GLYMA0048S00280|GLYMA20G00200	ORGLA03G0204100	OS03G0425200	POPTR_0007s00470	Sb03g009290	Vv05s0094g01420	GRMZM2G029845|GRMZM2G134149
Inositol pentakisphosphate 2-kinase (EC 2.7.1.158)	Al_scaffold_0061_2|fgenesh2_kg.8__555__AT5G42810.1	AT5G42810						POPTR_0005s25180		Vv18s0001g12910	
Inositol polyphosphate multikinase (EC 2.7.1.140, EC 2.7.1.151)	fgenesh2_kg.6__696__AT5G07370.2|fgenesh2_kg.8__2158__AT5G61760.1	AT5G07370|AT5G61760			GLYMA12G36970			POPTR_0012s11320|POPTR_0015s12100			
Inositol tetrakisphosphate 2-kinase (EC 2.7.1.-)	Al_scaffold_0061_2|fgenesh2_kg.8__555__AT5G42810.1	AT5G42810						POPTR_0005s25180		Vv18s0001g12910	
Inositol-1,3,4-trisphosphate 5/6-kinase (EC 2.7.1.159)	fgenesh2_kg.4__2577__AT2G43980.1	AT2G43980						POPTR_0007s00460|POPTR_0017s04030			
Inositol-1,4-bisphosphate 1-phosphatase (EC 3.1.3.57)	fgenesh2_kg.8__2407__AT5G63980.1	AT5G63980	BRADI4G40860	CHLREDRAFT_146533	GLYMA05G26250|GLYMA08G09180	ORGLA12G0047600|ORGLA12G0047700	OS12G0183200|OS12G0183300	POPTR_0005s06490|POPTR_0007s04240	Sb08g005190|Sb08g005200	Vv04s0044g01480	GRMZM2G088974|GRMZM2G152757
Inositol-polyphosphate 5-phosphatase (EC 3.1.3.56)	fgenesh1_pg.C_scaffold_1000431|fgenesh1_pm.C_scaffold_4002114|fgenesh2_kg.1__3518__AT1G34120.2|fgenesh2_kg.1__520__AT1G05630.1|scaffold_702635.1	AT1G05470|AT1G05630|AT1G34120|AT2G43900|AT4G18010			GLYMA01G40880|GLYMA05G06090|GLYMA07G40360|GLYMA09G08722|GLYMA11G04460|GLYMA12G29435|GLYMA17G00295|GLYMA17G16380|GLYMA20G04415		OS09G0500300	POPTR_0001s02880|POPTR_0007s00410|POPTR_0017s03970	Sb02g028990	Vv02s0012g00550|Vv05s0094g01330	
Inositol-tetrakisphosphate 1-kinase (EC 2.7.1.134)	Al_scaffold_0006_2924|fgenesh2_kg.4__2577__AT2G43980.1|fgenesh2_kg.6__1667__AT5G16760.1|scaffold_700775.1	AT2G43980|AT4G08170|AT4G33770|AT5G16760	BRADI1G10140|BRADI3G21470|BRADI3G34350		GLYMA04G09290|GLYMA06G09430|GLYMA10G40100|GLYMA20G27310	ORGLA03G0089500|ORGLA03G0295400|ORGLA10G0001700|ORGLA10G0147000	OS03G0230500|OS03G0726200|OS10G0103800|OS10G0576100	POPTR_0005s19370|POPTR_0007s00460|POPTR_0009s08800|POPTR_0017s04030	Sb01g009550|Sb01g027420|Sb01g028090|Sb01g042010	Vv16s0039g01700|Vv18s0001g08310	GRMZM2G149903|GRMZM2G167957|GRMZM2G179473|GRMZM2G456626
Isoleucyl-tRNA synthetase (EC 6.1.1.5)	fgenesh2_kg.6__3009__AT4G10320.1	AT4G10320	BRADI1G30610	CHLREDRAFT_139213	GLYMA11G09990|GLYMA12G02330	ORGLA02G0058700|ORGLA06G0189000	OS02G0183900|OS06G0645400	POPTR_0007s02170|POPTR_0017s06170	Sb04g035150|Sb06g002701|Sb06g002780|Sb10g025350	Vv05s0102g00100	GRMZM2G013773|GRMZM2G158627|GRMZM2G348666
Isovaleryl-CoA dehydrogenase (EC 1.3.8.4)	scaffold_501390.1	AT3G45300	BRADI2G38100	CHLREDRAFT_128289	GLYMA11G15900|GLYMA12G07570	ORGLA05G0018200	OS05G0125500	POPTR_0009s01690	Sb09g002260	Vv06s0004g03140	GRMZM2G052630|GRMZM2G381051
Jasmonic acid-amido synthetase JAR1 (EC 6.3.2.-)	fgenesh2_kg.4__2849__AT2G46370.2	AT2G46370	BRADI2G14830		GLYMA03G41700|GLYMA06G37401|GLYMA07G06370|GLYMA15G38731|GLYMA16G03011|GLYMA19G44310	ORGLA05G0238700	OS05G0586200	POPTR_0002s16960|POPTR_0014s09120	Sb03g028240|Sb09g030050	Vv15s0046g01280	GRMZM2G091276|GRMZM2G162413
L-aminoadipate-semialdehyde dehydrogenase (EC 1.2.1.31) in Lys degradation, antiquitin	fgenesh2_kg.1__4495__AT1G54100.1	AT1G54100	BRADI4G31310		GLYMA09G08150|GLYMA15G19670	ORGLA09G0088400|ORGLA10G0024400	OS09G0440300	POPTR_0001s16730|POPTR_0003s06570	Sb02g025790	Vv09s0002g01010|Vv11s0016g00900	GRMZM2G130440
