Role	Aly	Ath	Bdi	Cre	Gma	Ogl	Osa	Ptr	Sbi	Vvi	Zma
Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	fgenesh2_kg.2__2244__AT1G79470.1|scaffold_101819.1	AT1G16350|AT1G79470	BRADI1G06810	CHLREDRAFT_193467	GLYMA08G17490|GLYMA15G41640	ORGLA03G0332100	OS03G0780500	POPTR_0008s08200|POPTR_0008s08230|POPTR_0010s18080	Sb01g006320|Sb02g002640	Vv19s0085g00820	GRMZM2G069772|GRMZM2G100084|GRMZM2G121460
Inositol oxygenase (EC 1.13.99.1)	fgenesh2_kg.8__1571__AT5G56640.1|scaffold_101629.1|scaffold_303866.1|scaffold_701677.1	AT1G14520|AT2G19800|AT4G26260|AT5G56640	BRADI1G37870		GLYMA01G00840|GLYMA05G36100|GLYMA07G01660|GLYMA07G15190|GLYMA08G10690|GLYMA08G21300	ORGLA06G0153900	OS06G0561000	POPTR_0008s14360|POPTR_0017s13450|POPTR_0018s06700	Sb10g022160	Vv09s0002g02940|Vv11s0016g02800	GRMZM2G126900
Inositol-1-monophosphatase (EC 3.1.3.25)	fgenesh2_kg.3__232__AT3G02870.1	AT3G02870	BRADI1G15350	CHLREDRAFT_120462	GLYMA07G39620|GLYMA09G01380|GLYMA15G12230	ORGLA03G0228500	OS03G0587000	POPTR_0006s01600|POPTR_0016s01220|POPTR_0016s01230	Sb01g015510	Vv10s0405g00030	GRMZM2G034417
Inositol-1-phosphate synthase (EC 5.5.1.4)	fgenesh2_kg.6__978__AT5G10170.1|scaffold_400174.1|scaffold_700208.1	AT2G22240|AT4G39800|AT5G10170	BRADI1G71667|BRADI3G25600	CHLREDRAFT_188120	GLYMA05G31450|GLYMA08G14670|GLYMA18G02210	ORGLA03G0065300|ORGLA10G0064100	OS03G0192700|OS10G0369900	POPTR_0005s08050|POPTR_0007s05810	Sb0012s002210|Sb01g044290	Vv07s0031g00920	GRMZM2G004528|GRMZM2G010768|GRMZM2G155242|GRMZM2G177461|GRMZM2G392513
Inositol-phosphorylceramide synthase (EC 2.7.8.-)	fgenesh2_kg.4__1860__AT2G37940.1|fgenesh2_kg.4__929__AT2G29525.1|scaffold_502504.1	AT2G29525|AT2G37940|AT3G54020	BRADI2G23597|BRADI2G31130|BRADI2G55020	CHLREDRAFT_127014	GLYMA01G26700|GLYMA03G15850|GLYMA07G17110|GLYMA18G41820	ORGLA01G0312000|ORGLA05G0162600	OS01G0850100|OS05G0287800|OS05G0452900	POPTR_0001s25350|POPTR_0006s09490|POPTR_0016s09980	Sb03g039930|Sb08g018140|Sb09g022190	Vv06s0004g05800|Vv08s0007g01510	GRMZM2G004949|GRMZM2G045976|GRMZM2G067036|GRMZM2G147724|GRMZM2G169293
Isochorismate synthase (EC 5.4.4.2)	fgenesh2_kg.2__1738__AT1G74710.1|scaffold_102112.1	AT1G18870|AT1G74710		CHLREDRAFT_120595	GLYMA03G17420	ORGLA09G0053400		POPTR_0012s07180		Vv17s0000g05750	
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	fgenesh2_kg.1__4649__AT1G54340.1|fgenesh2_kg.2__826__AT1G65930.1|fgenesh2_kg.6__1434__AT5G14590.1	AT1G54340|AT1G65930|AT5G14590	BRADI2G08700|BRADI5G15210	CHLREDRAFT_196567	GLYMA02G40820|GLYMA05G08770|GLYMA08G17080|GLYMA14G39160|GLYMA15G42100	ORGLA01G0084500|ORGLA04G0153200	OS01G0248400|OS04G0508200	POPTR_0001s35080|POPTR_0004s07320|POPTR_0008s08000|POPTR_0010s18360|POPTR_0017s01410	Sb06g022050	Vv04s0079g00530|Vv14s0066g00950|Vv19s0085g01150	GRMZM2G082581
Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	fgenesh2_kg.6__235__AT5G03290.1|scaffold_103619.1|scaffold_301115.1	AT1G32480|AT3G09810|AT5G03290	BRADI3G43300	CHLREDRAFT_196044	GLYMA10G06590|GLYMA13G20790	ORGLA01G0095800	OS01G0276100	POPTR_0006s12860|POPTR_0016s09240	Sb03g011050	Vv08s0040g01700	GRMZM2G018566|GRMZM2G120857|GRMZM2G173251|GRMZM2G404855
Isocitrate lyase (EC 4.1.3.1), group II (plants and fungi)	fgenesh2_kg.3__2397__AT3G21720.1	AT3G21720	BRADI1G25870	CHLREDRAFT_191668	GLYMA05G06780|GLYMA06G45950|GLYMA12G10780	ORGLA07G0237600	OS07G0529000	POPTR_0007s02500|POPTR_0017s06460	Sb02g035150	Vv12s0059g02350	GRMZM2G056369
Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)	fgenesh2_kg.3__221__AT3G02780.1|fgenesh2_kg.6__1630__AT5G16440.1	AT3G02780|AT5G16440	BRADI2G25360	CHLREDRAFT_24471	GLYMA09G38550|GLYMA18G47770	ORGLA05G0142000	OS05G0413400	POPTR_0019s08090	Sb09g020370	Vv04s0023g00600|Vv14s0006g01710	GRMZM2G133082|GRMZM2G145029
Ketol-acid reductoisomerase (EC 1.1.1.86)	fgenesh2_kg.5__2304__AT3G58610.1	AT3G58610	BRADI2G15790|BRADI2G45330	CHLREDRAFT_140839	GLYMA04G35256|GLYMA06G43546|GLYMA12G14420|GLYMA12G33760|GLYMA13G36730	ORGLA01G0202000|ORGLA02G0037100|ORGLA05G0230500	OS01G0652600|OS02G0151600|OS05G0573700	POPTR_0004s04370|POPTR_0011s05250|POPTR_0013s12180|POPTR_0014s05460|POPTR_0019s11910	Sb03g029720|Sb09g029170	Vv10s0003g01180|Vv10s0003g01190|Vv12s0028g02340|Vv18s0001g14710	GRMZM2G004382|GRMZM2G161868
L,L-diaminopimelate aminotransferase (EC 2.6.1.83)	fgenesh2_kg.3__3025__AT2G13810.1|fgenesh2_kg.7__745__AT4G33680.1	AT2G13810|AT4G33680	BRADI1G21440|BRADI1G47650|BRADI1G64957|BRADI1G71530	CHLREDRAFT_129557	GLYMA07G30460|GLYMA08G06790|GLYMA08G19250|GLYMA15G05750	ORGLA03G0067000|ORGLA03G0136300	OS03G0299900	POPTR_0005s11790|POPTR_0007s14030|POPTR_0009s08570	Sb01g038010|Sb01g044130	Vv03s0088g01040|Vv03s0088g01060|Vv12s0055g00920	GRMZM2G010328|GRMZM2G119150|GRMZM2G415117
L-3-cyanoalanine synthase (EC 4.4.1.9)	fgenesh2_kg.5__2612__AT3G61440.1	AT3G61440	BRADI5G00610		GLYMA01G06131|GLYMA09G39390|GLYMA18G46920	ORGLA04G0017100	OS04G0165700	POPTR_0002s16220|POPTR_0014s08210	Sb06g001610	Vv04s0044g00250|Vv15s0046g02300	GRMZM2G036708
L-Serine decarboxylase (EC 4.1.1.-)	scaffold_104145.1	AT1G43710	BRADI3G45260|BRADI5G09817	CHLREDRAFT_40158	GLYMA03G17345|GLYMA08G08130|GLYMA08G19360|GLYMA10G37050|GLYMA10G37061|GLYMA10G37180|GLYMA11G25641|GLYMA15G05630|GLYMA18G52751|GLYMA20G30561	ORGLA02G0168800	OS02G0541325	POPTR_0002s07050|POPTR_0005s21280	Sb04g022140	Vv18s0076g00360	AC217811.3_FG003|GRMZM2G451314
L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	fgenesh2_kg.1__2543__AT1G23310.1|fgenesh2_kg.3__3006__AT2G13360.2|fgenesh2_kg.7__179__AT4G39660.1|scaffold_201947.1|scaffold_300993.1|scaffold_402568.1	AT1G23310|AT1G70580|AT2G13360|AT2G38400|AT3G08860|AT4G39660	BRADI1G59220|BRADI1G63030|BRADI1G73120|BRADI2G22410|BRADI2G49257|BRADI3G39750	CHLREDRAFT_133057|CHLREDRAFT_194609|CHLREDRAFT_206184	GLYMA01G03260|GLYMA01G32090|GLYMA02G04320|GLYMA03G04990|GLYMA05G31630|GLYMA08G14850|GLYMA08G41460|GLYMA10G24232|GLYMA11G36000|GLYMA16G17820|GLYMA18G02440|GLYMA18G14740|GLYMA18G44250	ORGLA03G0051400|ORGLA03G0159300|ORGLA05G0174800|ORGLA07G0004600|ORGLA08G0172400	OS03G0171900|OS03G0338000|OS05G0475400|OS07G0108300|OS08G0502700	POPTR_0001s26020|POPTR_0005s08380|POPTR_0006s10740|POPTR_0007s06190|POPTR_0007s06700|POPTR_0008s19160|POPTR_0009s05240|POPTR_0010s05530|POPTR_0016s13970	Sb01g035960|Sb01g045680|Sb02g000780|Sb07g028080|Sb09g023310	Vv00s0225g00130|Vv06s0004g07660|Vv06s0009g03740|Vv07s0031g01330|Vv08s0058g00930	GRMZM2G030571|GRMZM2G050481|GRMZM2G107739|GRMZM2G119511|GRMZM2G124353|GRMZM2G127350|GRMZM2G137868|GRMZM2G359559|GRMZM5G840582
L-arabinokinase (EC 2.7.1.46)	fgenesh1_pg.C_scaffold_7002326|fgenesh2_kg.5__766__AT3G42850.1	AT4G16130	BRADI1G34327|BRADI3G03620	CHLREDRAFT_11299	GLYMA14G19220|GLYMA17G27560	ORGLA02G0032000|ORGLA06G0221700	OS02G0141300|OS06G0702500	POPTR_0018s03820|POPTR_0018s03980|POPTR_0018s04310|POPTR_0018s14310	Sb04g003250|Sb10g029125	Vv04s0008g02830|Vv11s0065g00240|Vv11s0065g00290|Vv11s0065g00300	GRMZM2G098900|GRMZM2G165931
L-aspartate oxidase (EC 1.4.3.16)	fgenesh2_kg.6__1457__AT5G14760.1	AT5G14760	BRADI3G03080	CHLREDRAFT_58579	GLYMA05G08550	ORGLA02G0026400	OS02G0134400	POPTR_0001s34980	Sb04g002810	Vv14s0066g01240	GRMZM2G139689
L-fucose kinase (EC 2.7.1.52)	fgenesh2_kg.1__109__AT1G01220.1	AT1G01220	BRADI1G77547		GLYMA03G42000|GLYMA19G44690	ORGLA03G0009600	OS03G0115100	POPTR_0002s17540|POPTR_0014s09690	Sb01g049620	Vv15s0046g00110	GRMZM2G077780
L-lactate dehydrogenase (EC 1.1.1.27)	fgenesh2_kg.7__2582__AT4G17260.1	AT4G17260	BRADI3G15560		GLYMA01G41920|GLYMA05G04520|GLYMA11G03441|GLYMA17G14950	ORGLA02G0004200|ORGLA06G0002700	OS02G0105400|OS06G0104900	POPTR_0001s00440|POPTR_0003s11050	Sb04g000580|Sb04g000590	Vv02s0154g00350|Vv15s0048g00640	GRMZM2G128929|GRMZM2G173192
Lauric acid in-chain hydroxylase (no EC)	fgenesh2_kg.1__100__AT1G01280.1	AT1G01280	BRADI3G14390		GLYMA12G18960	ORGLA08G0014600	OS08G0131100	POPTR_0002s17280	Sb07g002610	Vv15s0046g00330	GRMZM5G830329
Light-dependent protochlorophyllide reductase (EC 1.3.1.33)	fgenesh1_pg.C_scaffold_1072000001|fgenesh2_kg.1__289__AT1G03630.1|fgenesh2_kg.7__1484__AT4G27440.1|fgenesh2_kg.8__1317__AT5G54190.1	AT1G03630|AT4G27440|AT5G54190	BRADI3G57380|BRADI5G26230	CHLREDRAFT_136589	GLYMA06G38160|GLYMA12G23131|GLYMA12G35050	ORGLA04G0260400	OS04G0678700	POPTR_0001s41370|POPTR_0011s12300|POPTR_0013s13910	Sb01g018230|Sb06g033030	Vv12s0059g00270|Vv19s0014g03160	GRMZM2G036455|GRMZM2G073351|GRMZM2G084958
Lipid IVA 3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12) [often with (EC 2.4.99.13) also]	fgenesh1_pm.C_scaffold_6000248	AT5G03770			GLYMA10G07520		OS01G0857300	POPTR_0016s11040		Vv08s0007g04140	
Lipid-A-disaccharide synthase (EC 2.4.1.182)	fgenesh2_kg.3__2797__AT2G04560.1	AT2G04560			GLYMA02G11180			POPTR_0014s15850		Vv12s0059g01600	
Long chain fatty acyl-CoA reductase [alcohol-forming] (EC 1.2.1.n2)	Al_scaffold_0007_692|fgenesh1_pm.C_scaffold_5001725|fgenesh2_kg.3__1250__AT3G11980.1|fgenesh2_kg.5__858__AT3G44540.1|fgenesh2_kg.5__859__AT3G44550.1|fgenesh2_kg.5__860__AT3G44560.1|fgenesh2_kg.6__2232__AT5G22420.1|scaffold_602299.1	AT3G11980|AT3G44540|AT3G44550|AT3G44560|AT3G56700|AT4G33790|AT5G22420|AT5G22500			GLYMA02G26670|GLYMA09G15895|GLYMA11G19150|GLYMA11G19160|GLYMA11G19170|GLYMA12G09270|GLYMA12G30850|GLYMA12G30870|GLYMA13G39440|GLYMA13G39450			POPTR_0004s19580|POPTR_0004s19600|POPTR_0006s21100|POPTR_0009s14720|POPTR_0009s14740|POPTR_0016s06210|POPTR_0490s00200|POPTR_0490s00210		Vv06s0080g00110|Vv06s0080g00120|Vv08s0007g07100|Vv13s0156g00050	
Long-chain fatty acid omega-alcohol dehydrogenase (EC 1.1.1.-)	scaffold_202227.1	AT1G72970	BRADI3G35310|BRADI4G28870		GLYMA07G01220|GLYMA08G20600|GLYMA13G42630|GLYMA15G02790	ORGLA08G0121900|ORGLA09G0054800	OS08G0401500|OS09G0363900	POPTR_0001s20800|POPTR_0003s03130	Sb02g023010|Sb07g019920	Vv09s0002g02210	GRMZM2G081841|GRMZM2G141214
Long-chain fatty acid omega-hydroxylase of sporopollenin biosynthesis (EC 1.14.13.-)	fgenesh2_kg.2__1207__AT1G69500.1	AT1G69500	BRADI1G73796		GLYMA07G04840|GLYMA16G01420	ORGLA03G0049000	OS03G0168600	POPTR_0008s08840	Sb01g045960	Vv01s0026g02700	GRMZM2G091822
Long-chain-alcohol O-fatty-acyltransferase (EC 2.3.1.75)	fgenesh1_pm.C_scaffold_7002494|scaffold_72600001.1|scaffold_801818.1	AT5G37300|AT5G53390									
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Al_scaffold_0003_2903|fgenesh1_pg.C_scaffold_6002759|fgenesh2_kg.1__4035__AT1G49430.1|fgenesh2_kg.2__2053__AT1G77590.1|fgenesh2_kg.2__39__AT1G64400.1|fgenesh2_kg.3__595__AT3G05970.1|fgenesh2_kg.6__2704__AT5G27600.1|fgenesh2_kg.7__1917__AT4G23850.1|scaffold_403700.1	AT1G49430|AT1G64400|AT1G77590|AT2G04350|AT2G47240|AT3G05970|AT4G11030|AT4G23850|AT5G27600	BRADI2G38490|BRADI2G45460|BRADI3G03730|BRADI4G08820|BRADI4G16280|BRADI4G24280|BRADI4G26610|BRADI4G41590|BRADI4G42950|BRADI4G44540	CHLREDRAFT_111160|CHLREDRAFT_113915|CHLREDRAFT_123147|CHLREDRAFT_169700	GLYMA01G43470|GLYMA02G01370|GLYMA02G34544|GLYMA03G22874|GLYMA03G38000|GLYMA05G12833|GLYMA05G36910|GLYMA06G11860|GLYMA07G13635|GLYMA07G20860|GLYMA08G02620|GLYMA10G01400|GLYMA10G39540|GLYMA11G02030|GLYMA11G13050|GLYMA12G05140|GLYMA13G03280|GLYMA13G11700|GLYMA14G23676|GLYMA19G40610|GLYMA20G01060|GLYMA20G07060|GLYMA20G07280|GLYMA20G28200	ORGLA01G0204600|ORGLA01G0218100|ORGLA05G0021700|ORGLA05G0097100|ORGLA11G0027300|ORGLA11G0041500|ORGLA11G0142800|ORGLA12G0025500|ORGLA12G0039400	OS01G0655800|OS01G0681200|OS05G0132100|OS05G0317200|OS11G0147000|OS11G0169800|OS11G0558300|OS12G0143900|OS12G0168700	POPTR_0001s10590|POPTR_0002s08450|POPTR_0002s19320|POPTR_0002s19330|POPTR_0003s13950|POPTR_0005s19990|POPTR_0009s11300|POPTR_0010s10050|POPTR_0013s02220|POPTR_0014s16730|POPTR_0014s16750	Sb03g029880|Sb03g031270|Sb05g001740|Sb05g002770|Sb05g004500|Sb05g021840|Sb06g031250|Sb08g001010|Sb08g004330|Sb08g015332|Sb09g002640|Sb10g003980	Vv02s0025g01410|Vv03s0063g01880|Vv05s0020g03080|Vv07s0005g01790|Vv12s0057g01270|Vv14s0128g00720|Vv18s0001g02810	GRMZM2G002614|GRMZM2G059381|GRMZM2G079236|GRMZM2G101875|GRMZM2G104847|GRMZM2G117064|GRMZM2G118286|GRMZM2G152127|GRMZM2G176546|GRMZM2G339336|GRMZM5G840955|GRMZM5G861300
Low-specificity L-threonine aldolase (EC 4.1.2.48)	fgenesh2_kg.1__884__AT1G08630.2|scaffold_300458.1	AT1G08630|AT3G04520	BRADI5G15710	CHLREDRAFT_141056	GLYMA03G41120|GLYMA10G30880|GLYMA20G36590	ORGLA04G0158400	OS04G0516600	POPTR_0013s04350|POPTR_0019s03530	Sb06g022620|Sb06g022630	Vv14s0036g00520	GRMZM2G043887|GRMZM2G147256|GRMZM2G147268
Malate dehydrogenase (EC 1.1.1.37)	fgenesh1_pm.C_scaffold_8001314|fgenesh2_kg.1__372__AT1G04410.1|fgenesh2_kg.1__4403__AT1G53240.1|fgenesh2_kg.3__1630__AT3G15020.2|fgenesh2_kg.4__199__AT2G22780.1|fgenesh2_kg.6__919__AT5G09660.1|fgenesh2_kg.8__486__AT5G43330.1|scaffold_501683.1	AT1G04410|AT1G53240|AT2G22780|AT3G15020|AT3G47520|AT5G09660|AT5G43330|AT5G56720	BRADI2G15740|BRADI2G45200|BRADI3G28820|BRADI3G37140|BRADI4G00910|BRADI4G02920	CHLREDRAFT_126023|CHLREDRAFT_137163|CHLREDRAFT_158129|CHLREDRAFT_60444	GLYMA01G26620|GLYMA01G40580|GLYMA02G00810|GLYMA04G35000|GLYMA05G01010|GLYMA06G34190|GLYMA07G14090|GLYMA07G30430|GLYMA08G06820|GLYMA10G00920|GLYMA11G04720|GLYMA12G19520|GLYMA13G16440|GLYMA17G10880	ORGLA01G0199700|ORGLA01G0298600|ORGLA05G0231000|ORGLA08G0138300|ORGLA12G0170600	OS01G0649100|OS01G0829800|OS05G0574400|OS08G0434300|OS10G0478200|OS12G0632700	POPTR_0001s38560|POPTR_0001s45330|POPTR_0002s14270|POPTR_0002s14290|POPTR_0003s11270|POPTR_0004s05340|POPTR_0004s11170|POPTR_0007s14510|POPTR_0008s16670|POPTR_0010s08180|POPTR_0011s09860|POPTR_0017s00780|POPTR_0017s00790|POPTR_0017s13630|POPTR_0017s13640|POPTR_0904s00200	Sb01g019280|Sb03g029570|Sb07g021320|Sb08g022770|Sb09g029240	Vv00s0373g00040|Vv01s0010g03090|Vv07s0005g03350|Vv07s0005g03360|Vv10s0003g01000|Vv14s0108g00870|Vv15s0021g02410|Vv17s0000g06270|Vv19s0014g01640	GRMZM2G068455|GRMZM2G077415|GRMZM2G154595|GRMZM2G161245|GRMZM2G415359|GRMZM2G466833
Malate synthase (EC 2.3.3.9)	Al_scaffold_0006_297	AT5G03860	BRADI5G13940	CHLREDRAFT_196328	GLYMA05G03100|GLYMA17G13730|GLYMA17G13740	ORGLA04G0137800	OS04G0486950	POPTR_0012s09620|POPTR_0015s10400	Sb06g020720	Vv17s0000g01820	GRMZM2G102183
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	fgenesh2_kg.4__990__AT2G30200.1	AT2G30200	BRADI1G65140	CHLREDRAFT_101671|CHLREDRAFT_141466	GLYMA11G29490|GLYMA11G29520|GLYMA18G06500	ORGLA03G0134700	OS03G0297400	POPTR_0001s28940|POPTR_0009s08150	Sb01g038160	Vv06s0004g07380	GRMZM2G029543|GRMZM2G053639
Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13 )	fgenesh2_kg.4__2064__AT2G39770.1|scaffold_502690.1|scaffold_701161.1	AT2G39770	BRADI1G66930|BRADI2G54870	CHLREDRAFT_130417	GLYMA02G41820|GLYMA11G34550|GLYMA14G07150|GLYMA18G03840	ORGLA01G0310300|ORGLA03G0115100|ORGLA08G0061400|ORGLA08G0061500	OS01G0847200|OS03G0268400|OS08G0237200	POPTR_0006s09130|POPTR_0008s00720|POPTR_0008s06050|POPTR_0010s20620	Sb01g039900|Sb03g039740		GRMZM2G119300|GRMZM2G149265|GRMZM2G160506
Mannose-6-phosphate isomerase (EC 5.3.1.8)	Al_scaffold_0002_1331|fgenesh2_kg.3__195__AT3G02570.1	AT1G67070|AT3G02570		CHLREDRAFT_196572	GLYMA08G48120|GLYMA13G07660|GLYMA18G53370|GLYMA19G06740	ORGLA01G0016400|ORGLA11G0160100	OS01G0127900|OS11G0600900	POPTR_0004s09820|POPTR_0005s15560	Sb03g007380|Sb05g023560|Sb05g023565	Vv14s0006g02820	GRMZM2G121066
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	fgenesh2_kg.3__1292__AT3G12290.1|fgenesh2_kg.4__1936__AT2G38660.3|fgenesh2_kg.6__3640__AT4G00620.1|fgenesh2_kg.6__3641__AT4G00600.1	AT2G38660|AT3G12290|AT4G00600|AT4G00620	BRADI2G35690|BRADI3G01940|BRADI4G28150	CHLREDRAFT_114203|CHLREDRAFT_194856|CHLREDRAFT_206121	GLYMA03G241|GLYMA03G37080|GLYMA09G39790|GLYMA18G46400|GLYMA19G39710	ORGLA02G0014500|ORGLA05G0033000|ORGLA09G0041800	OS02G0120900|OS05G0150800|OS09G0327300	POPTR_0002s15850|POPTR_0006s11490|POPTR_0011s10100|POPTR_0014s07650	Sb02g022160|Sb04g001700|Sb09g003920	Vv07s0005g00070|Vv08s0056g00070|Vv15s0046g03400	AC233922.1_FG005|GRMZM2G130790|GRMZM2G150485
Methionine S-methyltransferase (EC 2.1.1.12)	fgenesh2_kg.8__856__AT5G49810.1	AT5G49810	BRADI1G07037|BRADI2G39790|BRADI3G60640		GLYMA12G00231|GLYMA12G28490|GLYMA16G00210	ORGLA05G0003700		POPTR_0004s23890	Sb09g000490	Vv12s0035g01920|Vv12s0035g02060	GRMZM2G098039
Methionine--oxo-acid aminotransferase (EC 2.6.1.88)	scaffold_302330.1	AT3G19710									
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	fgenesh2_kg.3__1292__AT3G12290.1|fgenesh2_kg.4__1936__AT2G38660.3|fgenesh2_kg.6__3640__AT4G00620.1|fgenesh2_kg.6__3641__AT4G00600.1	AT2G38660|AT3G12290|AT4G00600|AT4G00620	BRADI2G35690|BRADI3G01940|BRADI4G28150	CHLREDRAFT_114203|CHLREDRAFT_194856|CHLREDRAFT_206121	GLYMA03G241|GLYMA03G37080|GLYMA09G39790|GLYMA18G46400|GLYMA19G39710	ORGLA02G0014500|ORGLA05G0033000|ORGLA09G0041800	OS02G0120900|OS05G0150800|OS09G0327300	POPTR_0002s15850|POPTR_0006s11490|POPTR_0011s10100|POPTR_0014s07650	Sb02g022160|Sb04g001700|Sb09g003920	Vv07s0005g00070|Vv08s0056g00070|Vv15s0046g03400	AC233922.1_FG005|GRMZM2G130790|GRMZM2G150485
Methylthioalkylmalate dehydrogenase (EC 1.1.1.-)	fgenesh2_kg.1__3662__AT5G14200.1|fgenesh2_kg.6__1387__AT5G14200.1	AT1G31180|AT5G14200									
Methylthioalkylmalate isomerase large subunit (EC 5.4.4.-)	Al_scaffold_0009_13	AT4G13430	BRADI3G02487	CHLREDRAFT_132888	GLYMA20G34160	ORGLA02G0018600	OS02G0125100		Sb04g002120		GRMZM2G010044|GRMZM2G133988|GRMZM2G370852
Methylthioalkylmalate isomerase small subunit (EC 5.4.4.-)	fgenesh2_kg.4__2471__AT2G43100.1|scaffold_503094.1	AT2G43100|AT3G58990									
Methylthioalkylmalate synthase (EC 2.3.3.-)	scaffold_602363.1|scaffold_602364.1	AT5G23010|AT5G23020									
Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)	fgenesh2_kg.3__2898__AT2G05830.1	AT2G05830	BRADI4G22150	CHLREDRAFT_149134	GLYMA09G08190|GLYMA15G19690		OS11G0216900	POPTR_0006s23650	Sb05g008680	Vv11s0016g00830	GRMZM2G139533
Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	fgenesh1_pm.C_scaffold_8001076	AT5G53850	BRADI3G57750		GLYMA06G36620|GLYMA12G24221|GLYMA12G35390|GLYMA13G35120	ORGLA11G0116600	OS11G0484000	POPTR_0001s40980|POPTR_0011s11900	Sb0019s004510|Sb03g009140	Vv12s0028g03470|Vv19s0014g02480	GRMZM2G111164|GRMZM2G574782
Mevalonate kinase (EC 2.7.1.36)	fgenesh2_kg.6__2716__AT5G27450.1	AT5G27450	BRADI2G13360		GLYMA03G39890|GLYMA19G42440	ORGLA08G0037400|ORGLA10G0049500	OS10G0329300	POPTR_0005s03750|POPTR_0013s02490|POPTR_0258s00230	Sb04g001220	Vv14s0128g00330	GRMZM2G019144|GRMZM2G074015
Mg protoporphyrin IX monomethyl ester oxidative cyclase (aerobic) (EC 1.14.13.81)	fgenesh2_kg.5__2129__AT3G56940.1	AT3G56940	BRADI2G10770|BRADI4G17420	CHLREDRAFT_183476|CHLREDRAFT_205856	GLYMA03G27380|GLYMA19G30350		OS01G0279100	POPTR_0006s02810|POPTR_0016s02570	Sb03g011270	Vv08s0040g00390	GRMZM2G043109|GRMZM2G081462
Mg-protoporphyrin O-methyltransferase (EC 2.1.1.11)	fgenesh2_kg.7__1761__AT4G25080.3	AT4G25080	BRADI1G50040	CHLREDRAFT_195575	GLYMA05G38570|GLYMA08G01060	ORGLA06G0020200	OS06G0132400	POPTR_0012s10840|POPTR_0015s11700	Sb10g002100	Vv17s0000g00280	GRMZM2G161673
Mid-chain alkane hydroxylase, alcohol- and ketone- forming (no EC)	fgenesh2_kg.1__4813__AT1G57750.1	AT1G57750									
Mitochondrial DNA damage tolerance	scaffold_802014.1	AT5G54770	BRADI1G25860	CHLREDRAFT_196899	GLYMA03G07703|GLYMA06G42080|GLYMA10G39740|GLYMA12G16380|GLYMA20G27990	ORGLA07G0237700	OS07G0529600	POPTR_0004s01990|POPTR_0011s00500|POPTR_0011s13820|POPTR_0101s00250	Sb02g040060|Sb03g025520	Vv10s0116g00530|Vv19s0177g00140	GRMZM2G018375|GRMZM2G074097
Monogalactosyldiacylglycerol synthase (EC 2.4.1.46)	fgenesh2_kg.6__2084__AT5G20410.1|scaffold_303492.1|scaffold_701030.1	AT2G11810|AT4G31780|AT5G20410	BRADI3G20020|BRADI3G54387|BRADI4G30600	CHLREDRAFT_113664	GLYMA13G23150|GLYMA14G12120|GLYMA17G11720|GLYMA17G33780	ORGLA02G0314800|ORGLA08G0084000|ORGLA09G0079500	OS02G0802700|OS08G0299400|OS09G0423600	POPTR_0006s06210|POPTR_0006s28230|POPTR_0018s02800|POPTR_0025s00590	Sb02g025070|Sb04g036240|Sb07g027910	Vv04s0008g06920|Vv11s0118g00310	GRMZM2G141320|GRMZM2G142873|GRMZM2G178892
Monooxygenase		AT5G05320						POPTR_0004s18300			
Monooxygenase, catalyses 4-hydroxylation of indolyl-3-methyl glucosinolate (I3M) to 4OH-I3M	fgenesh1_pm.C_scaffold_7000256|fgenesh1_pm.C_scaffold_8001363	AT4G37400|AT5G57220									
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	Al_scaffold_0003_3514	AT2G19940	BRADI1G14590	CHLREDRAFT_191987	GLYMA07G29630|GLYMA15G21180|GLYMA20G01220	ORGLA03G0242700	OS03G0617900|OS10G0494200	POPTR_0004s15290	Sb01g014570	Vv03s0063g01110	GRMZM2G038848
N-acetylglutamate synthase (EC 2.3.1.1)	fgenesh2_kg.4__1804__AT2G37500.1|fgenesh2_kg.4__214__AT2G22910.1|fgenesh2_kg.7__285__AT4G37670.2|scaffold_400252.1	AT2G22910|AT2G37500|AT4G37670	BRADI1G66350|BRADI4G42970	CHLREDRAFT_121469	GLYMA01G40230|GLYMA05G22580|GLYMA10G05090|GLYMA11G05060|GLYMA13G19450|GLYMA17G17350	ORGLA03G0121900|ORGLA03G0207700|ORGLA07G0155500	OS03G0279400|OS03G0431200|OS07G0585600	POPTR_0007s14900|POPTR_0012s11640|POPTR_0014s01000	Sb01g031570|Sb01g039230|Sb02g037760	Vv07s0151g00510|Vv08s0040g03320	GRMZM2G044237|GRMZM2G134426
